BOOK_DEP_TIME,CAR_NO,DEP_LATITUDE,DEP_LONGITUDE,DEP_TIME,DEST_LATITUDE,DEST_LONGITUDE,DEST_TIME,DRIVE_MILE,DRIVE_TIME,记录数,ON_AREA,ORDER_ID,ORDER_MATCH_TIME,WAIT_MILE,WAIT_TIME
20190604083525,bbd929616023049c8019a22c934738a5,24.5072,118.11782,20190604084503,24.52404,118.10775,20190604085301,2.7,420,1,350206,35196737534245,20190604205617,,
20190604075948,21d7b28a15da81ced48335dede6891df,24.59252,118.09021,20190604080508,24.57086,118.06522,20190604081212,5.6,420,1,350211,35196736147771,20190604212636,,
20190604083331,f89a5152602595b65f31cd4028680fd1,24.47787,118.17186,20190604083421,24.48719,118.19732,20190604085447,4.2,1260,1,350203,35196737436002,20190604212940,,
20190604084554,296b11709364696f959d0f0cd78cd93f,24.47241,118.11277,20190604085119,24.48179,118.09879,20190604085925,2,480,1,350203,35196737959316,20190604202249,,
20190604081901,69ec082c47a83c25471a8ef51e76eb3e,24.4775,118.14639,20190604083417,24.46971,118.1825,20190604084515,4,600,1,350203,35196736953481,20190604212840,,
20190604080406,4b136646561b9e154f486931b65104bd,24.52466,118.1503,20190604080709,24.52949,118.10501,20190604082444,6.2,1020,1,350206,35196736468725,20190604212635,,
20190604082846,6ee5d9ac9f7e02706e23b880e3217616,24.48226,118.17033,20190604082733,24.49167,118.17969,20190604083711,1.9,600,1,350203,35196736920291,20190604212239,,
20190604084220,7a645660c653dc4ff18b99b5ccc2e204,24.46784,118.11113,20190604084537,24.49534,118.1281,20190604085053,3.9,300,1,350203,35196737919735,20190604213053,,
20190604084850,99f5a098fba75f350f96d5c258bcf700,24.47545,118.08222,20190604085043,24.46511,118.0809,20190604085759,2.5,420,1,350203,35196737982453,20190604201747,,
20190604082902,c924ddfa64156268307e4fd263424e7d,24.47807,118.18775,20190604083757,24.48629,118.19709,20190604084728,3.1,540,1,350203,35196737242586,20190604211531,,
20190604082800,e162efc847d1f19048100f99c0584dcb,24.47687,118.13574,20190604084242,24.50758,118.18135,20190604085833,7.4,900,1,350203,35196737420530,20190604212527,,
20190604081117,368fea593714bc75c62509d93fd89b48,24.66099,118.24341,20190604081250,24.64347,118.23117,20190604082021,4.3,420,1,350213,35196736537905,20190604212530,,
20190604081538,063ce229537e4546fcaffec7c0c3bb5b,24.51639,118.11798,20190604082536,24.50803,118.10638,20190604083343,2,480,1,350206,35196736822844,20190604212530,,
20190604081622,618e3ac29251b9c0f3a808e73ce2d097,24.53821,118.17178,20190604081838,24.52769,118.18823,20190604082315,2.7,240,1,350206,35196737020021,20190604200444,,
20190604084343,f2f79253a30bae60544a18611842b979,24.53766,118.16826,20190604084502,24.53082,118.15623,20190604085133,3.5,360,1,350206,35196737935274,20190604200605,,
20190604083413,b0e3f721c50568c894102ebd5ce12314,24.5111,118.1413,20190604084313,24.45126,118.16963,20190604091211,11.2,1680,1,350206,35196737398677,20190604202438,,
20190604083737,39e02940ce1eab80a011c333471c8d4d,24.72203,118.14817,20190604083846,24.67833,118.19786,20190604085753,11.2,1140,1,350212,17632435097742,20190604211533,,
20190604085215,286865b4a10e64c28f99833bf7b830f3,24.52838,118.15759,20190604085544,24.59792,118.11236,20190604091055,11.1,900,1,350206,35196738031816,20190604211702,,
20190604084448,119557a0f44cd812ebeabf6ef2c2fce5,24.55889,118.22796,20190604085008,24.51947,118.184,20190604091130,11.7,1260,1,350213,35196737687126,20190604211258,,
